City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,gaziantep,37.0594,37.3825,10.96,87,0,0.0,TR,1683590413
243,gadzhiyevo,69.2551,33.3362,1.01,99,100,4.44,RU,1683590479
244,takum,7.2667,9.9833,26.34,69,80,1.76,NG,1683590479
245,guarapari,-20.6667,-40.4975,22.72,86,73,2.91,BR,1683590400
246,lagunas,-5.2269,-75.6753,23.59,97,44,1.24,PE,1683590480
247,la ronge,55.1001,-105.2842,19.14,26,75,3.09,CA,1683590480
248,wainwright,52.839,-110.8572,13.37,66,100,5.65,CA,1683590480
249,hadibu,12.65,54.0333,28.04,70,91,1.68,YE,1683590481
250,carnarvon,-24.8667,113.6333,23.7,49,57,2.35,AU,1683590481
251,duyun,26.2667,107.5167,13.69,98,100,0.63,CN,1683590481
252,beyneu,45.3167,55.2,20.06,38,69,5.76,KZ,1683590481
253,lhasa,29.65,91.1,7.18,55,8,2.82,CN,1683590482
254,vila velha,-20.3297,-40.2925,22.97,99,75,1.54,BR,1683590476
255,vengerovo,55.6848,76.7471,10.37,35,100,3.1,RU,1683590482
256,santana,-0.0583,-51.1817,27.1,89,100,4.63,BR,1683590483
257,shevchenkove,49.6959,37.1735,3.61,73,82,4.54,UA,1683590483
258,rohri,27.6922,68.8951,24.93,44,0,3.09,PK,1683590483
259,ust'-ilimsk,58.0006,102.6619,13.36,56,20,3.89,RU,1683590483
260,dinajpur,25.6272,88.6386,25.71,45,13,3.08,BD,1683590484
261,martinsburg,39.4562,-77.9639,23.58,78,74,2.07,US,1683590484
262,kununurra,-15.7667,128.7333,20.99,24,33,7.72,AU,1683590484
263,castillos,-34.1667,-53.8333,12.63,82,2,2.74,UY,1683590484
264,el granada,37.5027,-122.4694,19.68,64,0,7.72,US,1683590485
265,verkhnevilyuysk,63.4453,120.3167,-0.89,73,86,4.02,RU,1683590486
266,maua,-23.6678,-46.4614,23.33,79,12,1.13,BR,1683590486
267,langxiang,46.95,128.8833,8.0,25,26,6.51,CN,1683590486
268,mazara del vallo,37.6641,12.588,15.97,91,100,2.2,IT,1683590475
269,hasaki,35.7333,140.8333,15.22,57,100,8.12,JP,1683590487
270,sorong,-0.8833,131.25,27.77,74,52,2.16,ID,1683590449
271,jilikul,37.4917,68.5311,17.02,46,0,2.8,TJ,1683590487
272,de soto,34.9248,-89.9904,29.94,58,75,5.14,US,1683590193
273,kerikeri,-35.2268,173.9474,18.28,96,100,1.79,NZ,1683590488
274,laguna,38.421,-121.4238,21.66,44,0,4.12,US,1683590489
275,mbandaka,0.0487,18.2603,22.47,95,93,1.72,CD,1683590489
276,nanpara,27.8667,81.5,25.95,27,0,2.52,IN,1683590489
277,severo-yeniseyskiy,60.3725,93.0408,7.33,75,97,3.41,RU,1683590490
278,bilibino,68.0546,166.4372,-1.82,86,100,2.16,RU,1683590490
279,revda,56.801,59.9303,-2.53,73,7,0.99,RU,1683590490
280,san andres,12.5847,-81.7006,29.01,70,20,4.12,CO,1683590491
281,kani keli,-12.9536,45.1033,26.59,69,0,6.18,YT,1683590491
282,manokwari,-0.8667,134.0833,28.37,73,85,1.31,ID,1683590491
283,kapoeta,4.7717,33.5903,25.38,60,92,2.01,SS,1683590491
284,plastun,44.7561,136.2939,12.34,31,10,2.95,RU,1683590492
285,nuuk,64.1835,-51.7216,0.34,93,75,4.47,GL,1683590492
286,tofol,5.3248,163.0078,27.69,81,100,5.32,FM,1683590492
287,lakatoro,-16.0999,167.4164,28.28,70,19,2.34,VU,1683590492
288,ilulissat,69.2167,-51.1,-0.99,86,100,2.57,GL,1683590493
289,salym,60.0625,71.4789,-1.35,76,10,3.39,RU,1683590493
290,inayauan,9.9005,122.434,29.13,70,90,1.26,PH,1683590493
291,igurubi,-4.0,33.7,21.57,74,83,1.84,TZ,1683590493
292,port macquarie,-31.4333,152.9167,18.27,50,74,6.79,AU,1683590494
293,brisas de zicatela,15.8369,-97.0419,30.14,70,16,3.5,MX,1683590494
294,port blair,11.6667,92.75,28.6,79,100,4.47,IN,1683590494
295,ghadamis,30.1337,9.5007,17.69,67,0,8.11,LY,1683590494
296,luena,-11.7833,19.9167,14.38,60,9,1.79,AO,1683590495
297,linqiong,30.4159,103.4609,14.9,90,100,0.56,CN,1683590495
298,yeppoon,-23.1333,150.7333,15.88,30,38,4.56,AU,1683590495
299,kuanda,56.3161,116.0806,3.21,100,100,1.13,RU,1683590496
300,kapuskasing,49.4169,-82.4331,15.05,24,40,4.12,CA,1683590496
301,zhangye,38.9342,100.4517,7.86,71,93,0.28,CN,1683590496
302,ciudad guadalupe victoria,24.4497,-104.1225,27.43,9,63,10.25,MX,1683590496
303,papatowai,-46.5619,169.4708,12.79,94,100,3.67,NZ,1683590497
304,cuito,-12.3833,16.9333,13.97,65,10,0.95,AO,1683590497
305,kismayo,-0.3582,42.5454,26.55,82,40,6.41,SO,1683590497
306,qamdo,31.1667,97.2333,2.46,54,77,2.54,CN,1683590497
307,elliot lake,46.3834,-82.6331,11.16,59,82,1.27,CA,1683590498
308,kudahuvadhoo,2.6708,72.8944,28.11,75,25,4.75,MV,1683590498
309,fuyang,32.9,115.8167,17.08,55,2,3.73,CN,1683590498
310,khost,33.3395,69.9204,16.07,50,0,1.26,AF,1683590498
311,qui nhon,13.7667,109.2333,26.87,85,100,2.54,VN,1683590499
312,aykhal,66.0,111.5,-0.25,98,100,10.76,RU,1683590499
313,sarupathar,26.1984,93.8094,21.64,68,0,1.16,IN,1683590499
314,cabedelo,-6.9811,-34.8339,26.37,81,51,4.1,BR,1683590499
315,nhandeara,-20.6942,-50.0383,21.19,69,67,1.84,BR,1683590504
316,orkney,-26.9802,26.6727,12.51,65,0,0.76,ZA,1683590505
317,pali,25.7667,73.3333,28.7,16,0,2.3,IN,1683590505
318,conceicao do rio verde,-21.8808,-45.0853,16.48,87,9,0.93,BR,1683590505
319,knysna,-34.0363,23.0471,15.16,81,47,1.27,ZA,1683590505
320,pyshma,56.9523,63.2513,-0.09,55,1,2.27,RU,1683590506
321,belogorsk,50.9158,128.4611,5.17,46,100,9.36,RU,1683590511
322,udachny,66.4167,112.4,0.25,63,100,11.46,RU,1683590511
323,lorengau,-2.0226,147.2712,29.67,70,100,1.67,PG,1683590511
324,as sulayyil,20.4607,45.5779,31.14,17,81,3.79,SA,1683590512
325,new norfolk,-42.7826,147.0587,14.4,61,99,1.34,AU,1683590512
326,lagoa,39.05,-27.9833,16.09,89,96,2.87,PT,1683590512
327,kiunga,-6.1219,141.2906,23.94,100,100,0.67,PG,1683590512
328,ajaccio,42.0,8.9167,12.03,88,0,1.54,FR,1683590290
329,laojunmiao,39.8333,97.7333,6.02,46,16,2.1,CN,1683590513
330,leh,34.1667,77.5833,-4.02,87,86,1.18,IN,1683590513
331,stenungsund,58.0705,11.8181,10.14,68,68,4.96,SE,1683590513
332,karratha,-20.7377,116.8463,23.87,32,2,9.01,AU,1683590514
333,meadow lakes,61.6247,-149.6011,11.83,40,75,4.12,US,1683590514
334,kapa'a,22.0752,-159.319,28.99,68,12,4.02,US,1683590514
335,caarapo,-22.6342,-54.8222,20.68,94,100,2.44,BR,1683590515
336,ayorou,14.7308,0.9174,33.33,26,90,4.39,NE,1683590515
337,katabu,-4.9333,122.5167,24.79,96,100,1.01,ID,1683590515
338,kruisfontein,-34.0033,24.7314,13.27,75,41,2.58,ZA,1683590516
339,port alfred,-33.5906,26.891,17.32,84,74,2.22,ZA,1683590516
340,baukau,51.5526,7.2042,16.06,80,100,0.89,DE,1683590516
341,hengchun,22.0042,120.7439,23.72,76,100,8.66,TW,1683590517
342,comodoro rivadavia,-45.8667,-67.5,15.92,36,0,8.23,AR,1683590517
343,kimbe,-5.5502,150.1429,31.12,63,44,0.8,PG,1683590517
344,utrik,11.2278,169.8474,26.95,84,100,8.12,MH,1683590517
345,crane,31.3974,-102.3501,33.95,9,0,1.16,US,1683590518
346,temiskaming shores,47.4938,-79.7153,12.89,54,1,1.49,CA,1683590518
347,caleta de carquin,-11.0925,-77.6267,22.53,84,20,4.82,PE,1683590519
348,redding,40.5865,-122.3917,14.95,70,100,3.09,US,1683590281
349,piti village,13.4626,144.6933,30.17,79,15,4.3,GU,1683590519
350,az zulfi,26.2995,44.8154,29.09,24,76,4.57,SA,1683590519
351,shingu,33.7333,135.9833,17.43,60,100,1.91,JP,1683590519
